Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206.000000,Export Frame Rate,206.000000,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port
,,"8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000001","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000005","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000002","8392B20CF49E357145CE0C9500000004","8392B20CF49E357145CE0C9500000004","8392B20CF49E357145CE0C9500000004"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016394,0.022143,0.079853,-0.028881,0.025951,0.091090
1,0.004854,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016383,0.022154,0.079849,-0.028881,0.025951,0.091089
2,0.009709,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016373,0.022165,0.079846,-0.028881,0.025951,0.091089
3,0.014563,-0.029234,0.023057,0.064793,-0.039963,0.027348,0.077983,-0.016362,0.022175,0.079843,-0.028881,0.025951,0.091089
4,0.019417,-0.029234,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016352,0.022186,0.079839,-0.028881,0.025950,0.091089
5,0.024272,-0.029233,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016341,0.022196,0.079836,-0.028881,0.025950,0.091088
6,0.029126,-0.029233,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016331,0.022206,0.079833,-0.028881,0.025950,0.091088
7,0.033981,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016321,0.022217,0.079830,-0.028881,0.025950,0.091088
8,0.038835,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016311,0.022227,0.079826,-0.028881,0.025950,0.091088
9,0.043689,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016302,0.022236,0.079823,-0.028881,0.025950,0.091087
10,0.048544,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016292,0.022246,0.079820,-0.028881,0.025950,0.091087
11,0.053398,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016283,0.022255,0.079817,-0.028881,0.025949,0.091087
12,0.058252,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016274,0.022264,0.079815,-0.028881,0.025949,0.091087
13,0.063107,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016266,0.022273,0.079812,-0.028881,0.025949,0.091086
14,0.067961,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016258,0.022281,0.079809,-0.028881,0.025949,0.091086
15,0.072816,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077981,-0.016250,0.022289,0.079807,-0.028881,0.025949,0.091086
16,0.077670,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016242,0.022296,0.079804,-0.028881,0.025949,0.091086
17,0.082524,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016235,0.022304,0.079802,-0.028881,0.025949,0.091086
18,0.087379,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016228,0.022311,0.079800,-0.028881,0.025949,0.091085
19,0.092233,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016221,0.022317,0.079798,-0.028881,0.025949,0.091085
20,0.097087,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016215,0.022323,0.079796,-0.028881,0.025949,0.091085
21,0.101942,-0.029234,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016209,0.022329,0.079794,-0.028881,0.025949,0.091085
22,0.106796,-0.029234,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016204,0.022335,0.079792,-0.028881,0.025949,0.091085
23,0.111650,-0.029234,0.023059,0.064793,-0.039966,0.027348,0.077981,-0.016199,0.022340,0.079791,-0.028881,0.025949,0.091085
24,0.116505,-0.029234,0.023060,0.064793,-0.039966,0.027348,0.077980,-0.016194,0.022344,0.079789,-0.028882,0.025949,0.091085
25,0.121359,-0.029234,0.023060,0.064793,-0.039966,0.027348,0.077980,-0.016190,0.022349,0.079788,-0.028882,0.025949,0.091084
26,0.126214,-0.029234,0.023060,0.064792,-0.039966,0.027348,0.077980,-0.016186,0.022353,0.079786,-0.028882,0.025949,0.091084
