Format Version,1.21,,2016-02-19 04.26.29.968 PM,Total Frames in Take,Take Name,Best motion Take 2016-02-19 04.26.29 PM,Capture Frame Rate,,Total Exported Frames,5509,120,Export Frame Rate,120,Capture Start Time,,,5509,,,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,,,,
,,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Away from port top,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Ridgeside away from port,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Close to port top,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,MarkerSet:Ridge side close to port,,,,,,,,,,,,
,,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000000,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000001,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000002,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,8392B20CF49E357161174D8F00000003,,,,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
0,0,0.079938,0.087755,0.069383,0.065229,0.089047,0.079364,0.090576,0.08762,0.085401,0.076332,0.088922,0.095495,,,,,,,,,,,,
1,0.008333,0.079938,0.087755,0.069383,0.065229,0.089047,0.079364,0.090576,0.08762,0.085401,0.076332,0.088922,0.095495,,,,,,,,,,,,
2,0.016667,0.079938,0.087755,0.069383,0.065229,0.089047,0.079363,0.090576,0.087621,0.085401,0.076332,0.088923,0.095495,,,,,,,,,,,,
3,0.025,0.079938,0.087755,0.069383,0.065229,0.089047,0.079363,0.090576,0.087621,0.085401,0.076332,0.088923,0.095495,,,,,,,,,,,,
