Format Version,1.21,Capture Start Time,2016-02-19 05.16.24.248 PM,Total Frames in Take,Take Name,Best with last video taken on camera Take 2016-02-19 05.16.24 PM,Capture Frame Rate,4269,Total Exported Frames,4269,120,Export Frame Rate,120,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Top away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Ridge away from port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Top close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,MarkerSet:Ridge close to port,,,,,,
,,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000001,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000002,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000000,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,8392B20CF49E3571480B06D800000003,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
0,0,0.03227,0.090043,0.038387,0.019116,0.08793,0.050455,0.04468,0.090036,0.052128,0.031962,0.0881,0.063889,,,,,,
1,0.008333,0.032275,0.090044,0.038389,0.019119,0.087925,0.050457,0.044676,0.090037,0.052128,0.031965,0.088093,0.063892,,,,,,
2,0.016667,0.032275,0.09005,0.038382,0.019117,0.087929,0.050452,0.044677,0.090038,0.052125,0.031967,0.088104,0.063889,,,,,,
3,0.025,0.032282,0.09005,0.03838,0.019123,0.087929,0.05045,0.044683,0.090038,0.052117,0.031973,0.088098,0.063885,,,,,,
