Format Version,1.21,Take Name,SamTrail2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2016-02-02 02.44.51.312 PM,Total Frames in Take,2616,Total Exported Frames,2616,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,,,,
,,soft actuator:constant 0,soft actuator:constant 0,soft actuator:constant 0,soft actuator:end point,soft actuator:end point,soft actuator:end point,soft actuator:middle point,soft actuator:middle point,soft actuator:middle point,,,,,,,,,
,,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000000,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000002,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,8392B20CF49E35717C273B6500000003,,,,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,
0,0,-0.03286,0.097007,0.100258,0.072532,0.095824,0.039364,0.01124,0.094962,0.076349,,,,,,,,,
1,0.008333,-0.032865,0.097,0.100253,0.07253,0.095824,0.03936,0.011235,0.094965,0.076339,,,,,,,,,
2,0.016667,-0.032869,0.097002,0.100241,0.072535,0.095822,0.039351,0.011239,0.094967,0.076338,,,,,,,,,
3,0.025,-0.032863,0.096999,0.100235,0.072531,0.095824,0.039342,0.011235,0.094965,0.076324,,,,,,,,,
4,0.033333,-0.032862,0.097006,0.100225,0.072532,0.095825,0.039337,0.011238,0.094966,0.07632,,,,,,,,,
5,0.041667,-0.032854,0.097003,0.100222,0.072535,0.095818,0.03933,0.01124,0.094961,0.076316,,,,,,,,,
6,0.05,-0.032858,0.097001,0.100225,0.072539,0.095821,0.039335,0.011246,0.094959,0.076318,,,,,,,,,
7,0.058333,-0.03285,0.097008,0.100225,0.072538,0.095826,0.039336,0.011246,0.094963,0.076318,,,,,,,,,
8,0.066667,-0.03285,0.097009,0.100228,0.072544,0.095823,0.039347,0.011245,0.094967,0.076325,,,,,,,,,
9,0.075,-0.032849,0.097004,0.100239,0.072544,0.095831,0.039352,0.01125,0.094969,0.076337,,,,,,,,,
10,0.083333,-0.032857,0.097007,0.100249,0.072539,0.095832,0.039363,0.011248,0.094967,0.076345,,,,,,,,,
11,0.091667,-0.032856,0.097003,0.100253,0.072538,0.09582,0.039365,0.011248,0.094961,0.07635,,,,,,,,,
12,0.1,-0.032858,0.096997,0.100249,0.072539,0.095824,0.039359,0.011242,0.094963,0.076339,,,,,,,,,
13,0.108333,-0.032854,0.097,0.100243,0.072539,0.095823,0.039348,0.011242,0.094963,0.076331,,,,,,,,,
14,0.116667,-0.032857,0.097006,0.10023,0.072537,0.095825,0.039346,0.011248,0.094964,0.076323,,,,,,,,,
15,0.125,-0.032859,0.097002,0.100225,0.072538,0.095824,0.039334,0.011246,0.094962,0.076317,,,,,,,,,
16,0.133333,-0.032855,0.097005,0.100221,0.072541,0.09582,0.039333,0.011244,0.094968,0.076318,,,,,,,,,
17,0.141667,-0.032855,0.097001,0.100232,0.07254,0.095826,0.039339,0.011245,0.094956,0.076317,,,,,,,,,
18,0.15,-0.032853,0.097,0.100238,0.072544,0.095822,0.039345,0.011252,0.094962,0.076328,,,,,,,,,
19,0.158333,-0.032851,0.096999,0.100244,0.072543,0.09582,0.039355,0.01125,0.094964,0.076331,,,,,,,,,
